,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO,,,
1/6/2022 21:00,36896.88,10,7.21,2.68,1.33,8.7,1,,,
1/6/2022 22:00,36896.92,9.44,7.02,3.58,1.22,8.68,1,,,
1/6/2022 23:00,36896.97,9.44,6.85,4.02,0.91,8.66,1,,,
1/7/2022 0:00,36897,9.44,6.85,3.58,1.15,8.65,1,,,
1/7/2022 1:00,36897.04,8.89,6.48,3.13,0.96,8.63,1,,,
1/7/2022 2:00,36897.08,8.89,6.13,4.02,0.87,8.62,1,,,
1/7/2022 3:00,36897.13,7.78,5.56,2.68,0.99,8.6,1,,,
1/7/2022 4:00,36897.17,7.78,5.56,2.68,1.06,8.59,1,,,
1/7/2022 5:00,36897.21,7.22,4.84,4.92,0.87,8.57,1,,,
1/7/2022 6:00,36897.25,7.22,5.18,3.13,0.93,8.55,1,,,
1/7/2022 7:00,36897.29,7.22,4.84,4.02,1.1,8.54,10,,,
1/7/2022 8:00,36897.34,7.78,5.38,3.13,1.01,8.52,52,,,
1/7/2022 9:00,36897.38,8.89,5.59,2.68,0.93,8.51,99,,,
1/7/2022 10:00,36897.42,10.56,6.84,1.34,1.19,8.49,239,,,
1/7/2022 11:00,36897.46,12.78,8.22,0.89,3.8,8.48,295,,,
1/7/2022 12:00,36897.5,12.78,8.01,1.79,3.07,8.46,307,,,
1/7/2022 13:00,36897.55,13.89,8.67,1.79,3.96,10,282,,,
1/7/2022 14:00,36897.59,12.78,7.6,0.45,3.72,10,144,,,
1/7/2022 15:00,36897.63,12.78,8.42,0.89,4.78,10,51,,,
1/7/2022 16:00,36897.67,12.78,9.19,0.45,3.84,10,15,,,
1/7/2022 17:00,36897.71,12.22,8.46,0.89,3.35,10,1,,,
1/7/2022 18:00,36897.76,11.67,8.48,0.45,4.29,10,1,,,
1/7/2022 19:00,36897.8,11.67,9.03,0.89,4.5,10,0,,,
1/7/2022 20:00,36897.84,11.11,9.18,0,2.86,10,1,,,
1/7/2022 21:00,36897.88,10.56,8.97,0.45,3.6,10,1,,,
1/7/2022 22:00,36897.92,10.56,8.97,0.89,3.35,10,1,,,
1/7/2022 23:00,36897.97,10.56,9.13,0.45,2.65,10,1,,,
1/8/2022 0:00,36898,10,8.58,0.45,4.45,10,1,,,
1/8/2022 1:00,36898.04,10.56,8.97,6.26,4.01,10,1,,,
1/8/2022 2:00,36898.08,10,8.58,0.89,3.56,10,1,,,
1/8/2022 3:00,36898.13,7.78,6.38,0.89,3.68,10,1,,,
1/8/2022 4:00,36898.17,8.89,7.48,2.68,0.65,10,1,,,
1/8/2022 5:00,36898.21,8.33,7.09,1.79,1.34,10,1,,,
1/8/2022 6:00,36898.25,6.11,4.89,0.89,3.61,10,2,,,
1/8/2022 7:00,36898.29,6.11,4.89,1.79,3.32,10,12,,,
1/8/2022 8:00,36898.34,6.67,5.44,0.89,3.33,10,59,,,
1/8/2022 9:00,36898.38,6.67,5.44,1.34,3.65,10,118,,,
1/8/2022 10:00,36898.42,6.67,5.44,1.34,3.77,10,137,,,
1/8/2022 11:00,36898.46,7.22,5.83,0.89,3.61,10,119,,,
1/8/2022 12:00,36898.5,8.89,7.48,1.79,4.26,10,156,,,
1/8/2022 13:00,36898.55,9.44,8.03,0.45,0.99,9.76,116,,,
1/8/2022 14:00,36898.59,10,7.39,0.89,1.95,10,182,,,
1/8/2022 15:00,36898.63,9.44,6.31,1.79,0.42,9.72,80,,,
1/8/2022 16:00,36898.67,9.44,5.95,3.13,0.8,9.44,33,,,
1/8/2022 17:00,36898.71,8.89,5.4,1.79,1.87,9.16,2,,,
1/8/2022 18:00,36898.76,8.89,5.4,0.45,5.1,8.88,1,,,
1/8/2022 19:00,36898.8,8.89,5.22,0,3.6,8.6,1,,,
1/8/2022 20:00,36898.84,8.89,5.95,0.89,2.09,8.32,1,,,
1/8/2022 21:00,36898.88,8.33,5.23,0.45,4.9,8.04,1,,,
1/8/2022 22:00,36898.92,8.33,5.41,0.89,1.55,7.76,1,,,
1/8/2022 23:00,36898.97,7.78,5.56,0.45,4.59,7.48,1,,,
1/9/2022 0:00,36899,7.78,5.38,2.24,0.73,7.2,1,,,
1/9/2022 1:00,36899.04,6.67,4.46,0.89,1.94,6.92,1,,,
1/9/2022 2:00,36899.08,7.22,4.84,2.68,0.91,6.64,1,,,
1/9/2022 3:00,36899.13,6.67,4.46,2.24,0.94,6.36,1,,,
1/9/2022 4:00,36899.17,6.11,3.75,3.13,0.96,6.08,1,,,
1/9/2022 5:00,36899.21,5.56,3.03,3.58,0.93,5.8,1,,,
1/9/2022 6:00,36899.25,5.56,3.03,3.13,1.22,5.51,2,,,
1/9/2022 7:00,36899.29,5.56,2.16,3.58,1.22,5.23,21,,,
1/9/2022 8:00,36899.34,5.56,1.98,4.02,1.06,4.95,152,,,
1/9/2022 9:00,36899.38,7.22,2.45,2.68,0.98,4.67,326,,,
1/9/2022 10:00,36899.42,9.72,3.72,2.01,2.32,4.39,466,,,
1/9/2022 11:00,36899.46,12.22,4.85,1.34,3.67,4.11,533,,,
1/9/2022 12:00,36899.5,13.33,7.06,1.34,3.42,3.83,536,,,
1/9/2022 13:00,36899.55,13.89,7.13,0.89,5.62,5.87,480,,,
1/9/2022 14:00,36899.59,15,7.96,1.79,3.65,8.09,372,,,
1/9/2022 15:00,36899.63,16.67,7.52,0.45,0.33,8.04,218,,,
