$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:137.     

JDAY,T(C)
 35587.583,   11.62
 35587.626,   11.61
 35587.669,   11.62
 35587.709,   11.61
 35587.751,   11.59
 35587.793,   11.58
 35587.835,   11.63
 35587.876,   11.68
 35587.919,   11.71
 35587.959,   11.72
 35588.003,   11.75
 35588.043,   11.76
 35588.085,   11.73
 35588.126,   11.61
 35588.168,   11.58
 35588.210,   11.55
 35588.253,   11.48
 35588.293,   11.41
 35588.335,   11.40
 35588.377,   11.45
 35588.417,   11.48
 35588.459,   11.48
 35588.502,   11.48
 35588.544,   11.49
 35588.584,   11.49
 35588.626,   11.47
 35588.669,   11.50
 35588.708,   11.59
 35588.751,   11.57
 35588.793,   11.56
 35588.833,   11.59
 35588.876,   11.63
 35588.918,   11.69
 35588.960,   11.76
 35589.002,   11.72
 35589.042,   11.67
 35589.085,   11.57
 35589.126,   11.52
 35589.169,   11.53
 35589.209,   11.53
 35589.253,   11.51
 35589.293,   11.53
 35589.335,   11.58
 35589.376,   11.64
 35589.419,   11.67
 35589.459,   11.68
 35589.503,   11.69
 35589.542,   11.68
 35589.585,   11.63
 35589.625,   11.60
 35589.668,   11.62
 35589.709,   11.65
 35589.752,   11.67
 35589.794,   11.69
 35589.834,   11.72
 35589.877,   11.72
 35589.918,   11.67
 35589.961,   11.62
 35590.003,   11.61
 35590.043,   11.59
 35590.086,   11.58
 35590.128,   11.60
 35590.169,   11.63
 35590.209,   11.65
 35590.253,   11.66
 35590.293,   11.64
 35590.335,   11.60
 35590.376,   11.56
 35590.419,   11.51
 35590.459,   11.47
 35590.503,   11.47
 35590.542,   11.51
 35590.583,   11.59
 35590.627,   11.65
 35590.670,   11.65
 35590.710,   11.67
 35590.753,   11.68
 35590.794,   11.67
 35590.834,   11.64
 35590.877,   11.63
 35590.917,   11.63
 35590.959,   11.68
 35591.003,   11.73
 35591.042,   11.77
 35591.086,   11.78
 35591.126,   11.75
 35591.170,   11.67
 35591.210,   11.60
 35591.253,   11.55
 35591.293,   11.50
 35591.335,   11.50
 35591.376,   11.55
 35591.419,   11.60
 35591.459,   11.63
 35591.503,   11.66
 35591.542,   11.70
 35591.586,   11.76
 35591.626,   11.77
 35591.669,   11.74
 35591.708,   11.70
 35591.751,   11.68
 35591.792,   11.69
 35591.835,   11.70
 35591.875,   11.76
 35591.918,   11.84
 35591.961,   11.87
 35592.003,   11.81
 35592.043,   11.75
 35592.086,   11.72
 35592.126,   11.67
 35592.168,   11.60
 35592.210,   11.56
 35592.253,   11.58
 35592.293,   11.60
 35592.334,   11.64
 35592.378,   11.70
 35592.418,   11.72
 35592.460,   11.68
 35592.503,   11.65
 35592.544,   11.67
 35592.585,   11.70
 35592.628,   11.68
 35592.668,   11.66
 35592.710,   11.75
 35592.751,   11.76
 35592.794,   11.75
 35592.834,   11.76
 35592.877,   11.84
 35592.918,   11.94
 35592.959,   11.99
 35593.003,   11.99
 35593.043,   12.03
 35593.086,   12.02
 35593.126,   11.81
 35593.168,   11.63
 35593.209,   11.48
 35593.253,   11.41
 35593.293,   11.45
 35593.335,   11.57
 35593.378,   11.68
 35593.418,   11.69
 35593.459,   11.66
 35593.503,   11.76
 35593.543,   11.80
 35593.585,   11.82
 35593.627,   11.84
 35593.669,   11.87
 35593.709,   11.84
 35593.751,   11.77
 35593.793,   11.78
 35593.835,   11.86
 35593.877,   11.99
 35593.918,   12.15
 35593.961,   12.31
 35594.002,   12.33
 35594.043,   12.06
 35594.084,   11.79
 35594.127,   11.62
 35594.167,   11.56
 35594.209,   11.62
 35594.254,   11.61
 35594.294,   11.67
 35594.337,   11.84
 35594.378,   12.05
 35594.418,   12.20
 35594.459,   12.20
 35594.503,   12.10
 35594.545,   12.00
 35594.585,   11.93
 35594.629,   11.90
 35594.667,   11.88
 35594.709,   11.88
 35594.752,   11.95
 35594.793,   11.97
 35594.835,   11.95
 35594.879,   11.97
 35594.919,   11.97
 35594.959,   11.93
 35595.004,   11.90
 35595.044,   11.89
 35595.084,   11.90
 35595.127,   11.92
 35595.169,   11.96
 35595.210,   12.00
 35595.254,   12.03
 35595.294,   12.01
 35595.334,   11.89
 35595.376,   11.82
 35595.420,   11.75
 35595.460,   11.71
 35595.504,   11.65
 35595.545,   11.70
 35595.587,   11.73
 35595.626,   11.80
 35595.667,   11.86
 35595.710,   11.93
 35595.752,   12.00
 35595.793,   12.01
 35595.837,   11.94
 35595.878,   11.91
 35595.918,   11.94
 35595.963,   12.00
 35596.004,   12.02
 35596.044,   12.00
 35596.084,   11.99
 35596.127,   12.00
 35596.168,   12.00
 35596.210,   11.97
 35596.254,   11.84
 35596.294,   11.77
 35596.336,   11.71
 35596.377,   11.72
 35596.417,   11.77
 35596.460,   11.83
 35596.504,   11.87
 35596.545,   11.97
 35596.587,   12.02
 35596.626,   12.04
 35596.670,   12.02
 35596.710,   12.04
 35596.754,   12.08
 35596.792,   12.07
 35596.835,   12.01
 35596.876,   11.92
 35596.920,   11.93
 35596.959,   11.92
 35597.004,   11.90
 35597.044,   11.90
 35597.084,   11.93
 35597.126,   11.95
 35597.169,   11.94
 35597.208,   11.96
 35597.254,   11.96
 35597.294,   11.91
 35597.335,   11.84
 35597.378,   11.81
 35597.418,   11.84
 35597.460,   11.87
 35597.504,   11.91
 35597.544,   11.96
 35597.587,   11.96
 35597.627,   11.94
 35597.670,   11.94
 35597.710,   11.90
 35597.752,   11.84
 35597.792,   11.82
 35597.836,   11.85
 35597.876,   11.88
 35597.919,   11.92
 35597.959,   11.99
 35598.004,   12.06
 35598.044,   12.07
 35598.084,   12.03
 35598.126,   12.00
 35598.169,   11.98
 35598.209,   11.96
 35598.254,   11.96
 35598.294,   11.99
 35598.336,   12.00
 35598.375,   12.00
 35598.419,   12.00
 35598.459,   12.00
 35598.504,   12.01
 35598.542,   12.01
 35598.585,   11.98
 35598.625,   11.96
 35598.669,   11.96
 35598.709,   11.98
 35598.752,   11.98
 35598.795,   11.96
 35598.835,   11.95
 35598.878,   11.98
 35598.918,   12.03
 35598.958,   12.07
 35599.004,   12.10
 35599.044,   12.09
 35599.084,   12.05
 35599.126,   11.96
 35599.169,   11.87
 35599.209,   11.82
 35599.254,   11.81
 35599.293,   11.83
 35599.336,   11.90
 35599.377,   12.07
 35599.417,   12.16
 35599.460,   12.21
 35599.504,   12.24
 35599.545,   12.23
 35599.584,   12.20
 35599.628,   12.19
 35599.668,   12.18
 35599.708,   12.14
 35599.752,   12.12
 35599.795,   12.13
 35599.835,   12.05
 35599.875,   12.06
 35599.919,   12.11
 35599.960,   12.18
 35600.004,   12.18
 35600.044,   12.10
 35600.084,   12.03
 35600.125,   12.01
 35600.167,   12.03
 35600.210,   12.05
 35600.254,   12.02
 35600.294,   11.97
 35600.338,   11.92
 35600.375,   11.93
 35600.420,   11.98
 35600.460,   12.01
 35600.505,   12.01
 35600.546,   11.98
 35600.586,   11.98
 35600.627,   12.00
 35600.669,   12.11
 35600.710,   12.15
 35600.751,   12.17
 35600.794,   12.17
 35600.836,   12.20
 35600.878,   12.24
 35600.920,   12.18
 35600.961,   12.18
 35601.005,   12.20
 35601.044,   12.15
 35601.085,   12.09
 35601.127,   12.07
 35601.170,   12.08
 35601.210,   12.11
 35601.255,   12.12
 35601.295,   12.09
 35601.334,   12.06
 35601.375,   12.04
 35601.418,   12.05
 35601.460,   12.08
 35601.505,   12.11
 35601.545,   12.11
 35601.585,   12.10
 35601.625,   12.09
 35601.670,   12.10
 35601.709,   12.15
 35601.755,   12.19
 35601.795,   12.17
 35601.835,   12.11
 35601.876,   12.13
 35601.920,   12.32
 35601.961,   12.46
 35602.004,   12.51
 35602.045,   12.41
 35602.084,   12.32
 35602.129,   12.16
 35602.167,   12.04
 35602.210,   11.95
 35602.251,   12.06
 35602.292,   12.96
 35602.334,   14.09
 35602.376,   13.78
 35602.417,   12.86
 35602.459,   11.56
 35602.501,   11.63
 35602.542,   11.79
 35602.584,   11.70
 35602.625,   11.61
 35602.668,   12.00
 35602.709,   12.54
 35602.751,   13.20
 35602.793,   13.65
 35602.834,   13.74
 35602.876,   13.56
 35602.919,   13.21
 35602.959,   12.99
 35603.003,   12.71
 35603.043,   12.53
 35603.084,   12.63
 35603.126,   12.72
 35603.168,   12.79
 35603.210,   12.72
 35603.253,   12.68
 35603.293,   12.67
 35603.335,   12.57
 35603.376,   12.59
 35603.420,   12.54
 35603.460,   12.64
 35603.505,   12.63
 35603.542,   12.67
 35603.587,   12.73
 35603.626,   12.87
 35603.667,   12.91
 35603.710,   12.98
 35603.752,   13.06
 35603.792,   12.92
 35603.835,   12.81
 35603.877,   12.77
 35603.918,   12.78
 35603.963,   12.66
 35604.005,   12.63
 35604.045,   12.61
 35604.085,   12.60
 35604.126,   12.55
 35604.170,   12.37
 35604.210,   12.32
 35604.255,   12.26
 35604.295,   12.24
 35604.336,   12.27
 35604.377,   12.34
 35604.420,   12.45
 35604.460,   12.55
 35604.505,   12.75
 35604.546,   12.80
 35604.587,   12.83
 35604.627,   12.83
 35604.670,   12.81
 35604.710,   12.80
 35604.751,   12.84
 35604.793,   12.90
 35604.837,   12.94
 35604.876,   12.85
 35604.920,   12.86
 35604.961,   12.87
 35605.001,   12.82
 35605.042,   12.73
 35605.084,   12.65
 35605.126,   12.59
 35605.170,   12.56
 35605.210,   12.60
 35605.255,   12.70
 35605.295,   12.79
 35605.335,   12.85
 35605.379,   12.84
 35605.420,   12.78
 35605.460,   12.71
 35605.505,   12.77
 35605.545,   12.74
 35605.586,   12.76
 35605.626,   12.79
 35605.670,   12.83
 35605.710,   12.82
 35605.751,   12.81
 35605.795,   12.89
 35605.836,   12.82
 35605.876,   12.82
 35605.920,   12.84
 35605.961,   12.85
 35606.004,   12.85
 35606.042,   12.84
 35606.084,   12.84
 35606.129,   12.82
 35606.170,   12.78
 35606.210,   12.78
 35606.255,   12.74
 35606.295,   12.69
 35606.334,   12.71
 35606.376,   12.75
 35606.420,   12.79
 35606.460,   12.82
 35606.504,   12.82
 35606.545,   12.77
 35606.586,   12.73
 35606.626,   12.79
 35606.669,   12.72
 35606.710,   12.70
 35606.754,   12.76
 35606.795,   12.88
 35606.835,   12.87
 35606.875,   12.90
 35606.920,   12.94
 35606.959,   13.01
 35607.004,   12.96
 35607.044,   12.79
 35607.084,   12.66
 35607.128,   12.61
 35607.169,   12.61
 35607.209,   12.65
 35607.254,   12.74
 35607.294,   12.85
 35607.337,   12.96
 35607.379,   12.98
 35607.419,   12.97
 35607.459,   13.06
 35607.504,   12.99
