JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 37731.042,   183.969,   172.423,    15.339,     0.000,     0.000,     0.000,     0.250,    79.923,  2106.080,     1.000,    11.422,   -76.344,     0.000,   308.727,   381.679,    10.504,    -7.111,     0.000,
 37732.042,   159.071,   172.462,    15.928,     0.000,     0.000,     0.000,     0.250,    79.962,  2106.080,     1.000,    11.537,   -89.145,     0.000,   308.727,   384.806,    17.460,    -4.393,     0.000,
 37733.043,   151.544,   172.676,    16.515,     0.000,     0.000,     0.000,     0.250,    80.176,  2138.340,     1.000,    11.656,   -57.359,     0.000,   323.164,   387.944,     5.502,   -12.923,     0.000,
 37734.043,   136.446,   173.159,    17.342,     0.000,     0.000,     0.000,     0.250,    80.659,  2138.340,     1.000,    11.853,  -149.789,     0.000,   294.159,   392.383,    43.193,     8.372,     0.000,
 37735.042,    86.195,   173.700,    17.139,     0.000,     0.000,     0.000,     0.250,    81.200,  2171.600,     1.000,    11.900,  -186.798,     0.000,   281.590,   391.282,    54.832,    22.274,     0.000,
 37736.043,   115.644,   174.129,    16.683,     0.000,     0.000,     0.000,     0.250,    81.629,  2171.600,     1.000,    11.849,  -179.438,     0.000,   282.651,   388.827,    50.501,    22.762,     0.000,
 37737.043,   122.296,   174.559,    16.252,     0.000,     0.000,     0.000,     0.250,    82.059,  2216.730,     1.000,    11.708,  -196.416,     0.000,   305.835,   386.539,    95.574,    20.138,     0.000,
 37738.042,   196.256,   174.900,    15.382,     0.001,     0.000,     0.000,     0.250,    82.400,  2216.730,     1.000,    11.765,  -154.819,     0.000,   286.804,   381.894,    43.526,    16.204,     0.000,
 37739.042,   209.243,   175.137,    16.084,     0.000,     0.000,     0.000,     0.250,    82.637,  2216.730,     1.000,    11.921,  -165.407,     0.000,   278.173,   385.625,    44.754,    13.201,     0.000,
 37740.042,   193.650,   175.403,    16.556,     0.000,     0.000,     0.000,     0.250,    82.903,  2216.730,     1.000,    11.943,  -164.585,     0.000,   281.463,   388.158,    45.332,    12.558,     0.000,
