JDAY,SEG   2,SEG   3,SEG   4,SEG   5,SEG   6,SEG   7,SEG   8,SEG   9,SEG  10,SEG  11,SEG  12,SEG  13,SEG  14,SEG  15,SEG  16,SEG  17,SEG  18,SEG  19,SEG  20,SEG  21,SEG  22,SEG  23,SEG  24,SEG  25,SEG  26,SEG  27,SEG  28,SEG  29,SEG  30,SEG  31,SEG  34,SEG  35,SEG  36,SEG  39,SEG  40,SEG  41,SEG  44,SEG  45,SEG
 35565.046, 162.760, 162.760, 162.760, 163.316, 159.954, 159.960, 159.961, 159.961, 159.962, 159.964, 159.964, 159.964, 159.965, 159.966, 159.966, 159.967, 159.968, 159.969, 159.970, 159.970, 159.970, 159.970, 159.970, 159.970, 159.970, 159.970, 159.970, 159.969, 159.969, 159.969, 162.760, 159.970, 159.970, 159.970, 159.970, 159.970, 159.969, 159.970,
 35566.047, 162.760, 162.760, 162.760, 163.316, 160.093, 160.097, 160.098, 160.098, 160.099, 160.100, 160.101, 160.101, 160.102, 160.102, 160.103, 160.103, 160.104, 160.105, 160.106, 160.106, 160.106, 160.106, 160.106, 160.106, 160.106, 160.105, 160.105, 160.105, 160.105, 160.105, 162.760, 160.106, 160.106, 160.106, 160.106, 160.106, 160.106, 160.106,
 35567.047, 162.760, 162.760, 162.760, 163.316, 160.218, 160.223, 160.223, 160.223, 160.224, 160.225, 160.226, 160.226, 160.226, 160.227, 160.227, 160.228, 160.228, 160.229, 160.230, 160.231, 160.230, 160.230, 160.230, 160.230, 160.230, 160.230, 160.230, 160.230, 160.230, 160.230, 162.760, 160.230, 160.230, 160.230, 160.230, 160.230, 160.230, 160.230,
 35568.046, 162.760, 162.760, 162.760, 163.316, 160.381, 160.388, 160.388, 160.389, 160.390, 160.391, 160.391, 160.392, 160.392, 160.392, 160.393, 160.393, 160.394, 160.395, 160.396, 160.396, 160.396, 160.396, 160.396, 160.396, 160.396, 160.395, 160.396, 160.396, 160.396, 160.396, 162.760, 160.396, 160.396, 160.396, 160.396, 160.396, 160.396, 160.396,
 35569.045, 162.760, 162.760, 162.760, 163.316, 160.561, 160.567, 160.568, 160.569, 160.570, 160.571, 160.571, 160.571, 160.571, 160.571, 160.572, 160.572, 160.573, 160.575, 160.575, 160.575, 160.575, 160.575, 160.575, 160.575, 160.575, 160.575, 160.574, 160.574, 160.574, 160.574, 162.760, 160.575, 160.575, 160.575, 160.575, 160.574, 160.575, 160.575,
 35570.045, 162.760, 162.760, 162.760, 163.316, 160.679, 160.684, 160.685, 160.686, 160.687, 160.688, 160.688, 160.688, 160.689, 160.689, 160.690, 160.690, 160.690, 160.692, 160.693, 160.693, 160.693, 160.693, 160.693, 160.692, 160.692, 160.692, 160.692, 160.692, 160.691, 160.691, 162.760, 160.692, 160.692, 160.692, 160.692, 160.691, 160.692, 160.692,
 35571.045, 162.760, 162.760, 162.760, 163.316, 160.714, 160.719, 160.719, 160.721, 160.722, 160.722, 160.723, 160.723, 160.723, 160.723, 160.724, 160.724, 160.725, 160.726, 160.727, 160.727, 160.727, 160.727, 160.726, 160.726, 160.726, 160.727, 160.726, 160.726, 160.726, 160.726, 162.760, 160.727, 160.727, 160.726, 160.726, 160.725, 160.726, 160.726,
 35572.046, 162.760, 162.760, 162.760, 163.316, 160.715, 160.721, 160.721, 160.723, 160.724, 160.724, 160.724, 160.725, 160.725, 160.725, 160.726, 160.726, 160.727, 160.728, 160.729, 160.729, 160.729, 160.728, 160.728, 160.728, 160.728, 160.728, 160.728, 160.728, 160.728, 160.728, 162.760, 160.729, 160.729, 160.728, 160.728, 160.727, 160.728, 160.728,
 35573.045, 162.760, 162.760, 162.760, 163.316, 160.687, 160.692, 160.692, 160.695, 160.695, 160.696, 160.696, 160.696, 160.696, 160.697, 160.697, 160.698, 160.698, 160.699, 160.700, 160.700, 160.700, 160.700, 160.700, 160.700, 160.700, 160.699, 160.699, 160.699, 160.699, 160.699, 162.760, 160.700, 160.700, 160.700, 160.699, 160.699, 160.700, 160.700,
 35574.044, 162.760, 162.760, 162.760, 163.316, 160.758, 160.767, 160.767, 160.769, 160.770, 160.771, 160.771, 160.772, 160.772, 160.772, 160.773, 160.773, 160.774, 160.775, 160.776, 160.775, 160.775, 160.776, 160.776, 160.776, 160.776, 160.775, 160.775, 160.775, 160.774, 160.774, 162.760, 160.775, 160.776, 160.776, 160.776, 160.776, 160.775, 160.775,
 35575.044, 162.760, 162.760, 162.760, 163.316, 160.961, 160.967, 160.967, 160.969, 160.970, 160.970, 160.971, 160.971, 160.971, 160.972, 160.972, 160.972, 160.973, 160.973, 160.974, 160.974, 160.974, 160.974, 160.974, 160.975, 160.975, 160.975, 160.975, 160.974, 160.974, 160.974, 162.760, 160.973, 160.974, 160.975, 160.975, 160.975, 160.975, 160.975,
