 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 37683.046,   1,  0.23374018E+09,   0.00000000E+00,  -0.10928755E+09,   0.00000000E+00,   0.00000000E+00,  -0.22990332E+07,   0.00000000E+00,   0.00000000E+00,   0.98808104E-11,
 37684.043,   1,  0.23969170E+09,   0.00000000E+00,  -0.11230319E+09,   0.00000000E+00,   0.00000000E+00,  -0.23507524E+07,   0.00000000E+00,   0.00000000E+00,   0.10606393E-10,
 37685.044,   1,  0.24427667E+09,   0.00000000E+00,  -0.11552967E+09,   0.00000000E+00,   0.00000000E+00,  -0.23898306E+07,   0.00000000E+00,   0.00000000E+00,   0.11238606E-10,
 37686.044,   1,  0.24835623E+09,   0.00000000E+00,  -0.11894191E+09,   0.00000000E+00,   0.00000000E+00,  -0.24066710E+07,   0.00000000E+00,   0.00000000E+00,   0.10547494E-10,
 37687.044,   1,  0.25227996E+09,   0.00000000E+00,  -0.12247595E+09,   0.00000000E+00,   0.00000000E+00,  -0.24310410E+07,   0.00000000E+00,   0.00000000E+00,   0.10540652E-10,
 37688.044,   1,  0.25582560E+09,   0.00000000E+00,  -0.12574775E+09,   0.00000000E+00,   0.00000000E+00,  -0.24801771E+07,   0.00000000E+00,   0.00000000E+00,   0.10860754E-10,
 37689.044,   1,  0.25903212E+09,   0.00000000E+00,  -0.12849356E+09,   0.00000000E+00,   0.00000000E+00,  -0.25184888E+07,   0.00000000E+00,   0.00000000E+00,   0.11034425E-10,
 37690.045,   1,  0.26207415E+09,   0.00000000E+00,  -0.13099449E+09,   0.00000000E+00,   0.00000000E+00,  -0.25535321E+07,   0.00000000E+00,   0.00000000E+00,   0.12474992E-10,
 37691.045,   1,  0.26513370E+09,   0.00000000E+00,  -0.13349535E+09,   0.00000000E+00,   0.00000000E+00,  -0.26004694E+07,   0.00000000E+00,   0.00000000E+00,   0.13799715E-10,
 37692.045,   1,  0.26833153E+09,   0.00000000E+00,  -0.13608088E+09,   0.00000000E+00,   0.00000000E+00,  -0.26278797E+07,   0.00000000E+00,   0.00000000E+00,   0.14404201E-10,
